GMLID;LocalId;Namespace;Version;NatlStationCode;Name;Municipality;EUStationCode;ActivityBegin;ActivityEnd;Latitude;Longitude;SRSName;Altitude;AltitudeUnit;AreaClassification;BelongsTo
STA-FR33213;STA-FR33213;FR.LCSQA-INERIS.AQ;2;FR33213;ANNEMASSE TRAFIC;ANNEMASSE;FR33213;2016-01-01T00:00:00+01:00;2020-12-24T00:00:00+01:00;46.19081;6.235536;urn:ogc:def:crs:EPSG::4326;432;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR38017;STA-FR38017;FR.LCSQA-INERIS.AQ;2;FR38017;Grand Coude;SAINT-JOSEPH;FR38017;2010-10-14T00:00:00+01:00;;-21.29433;55.62793;urn:ogc:def:crs:EPSG::4326;1141;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional;FR.LCSQA-INERIS.AQ/NET-FR060A
STA-FR33120;STA-FR33120;FR.LCSQA-INERIS.AQ;2;FR33120;CHAMONIX;CHAMONIX-MONT-BLANC;FR33120;1997-10-31T00:00:00+01:00;;45.9225;6.87;urn:ogc:def:crs:EPSG::4326;1038;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR07012;STA-FR07012;FR.LCSQA-INERIS.AQ;1;FR07012;Le Puy Centre;LE PUY-EN-VELAY;FR07012;1998-11-01T00:00:00+01:00;2015-12-31T00:00:00+01:00;45.045002;3.883001;urn:ogc:def:crs:EPSG::4326;645;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR24017;STA-FR24017;FR.LCSQA-INERIS.AQ;1;FR24017;ST AUBAN;CHATEAU-ARNOUX-SAINT-AUBAN;FR24017;2002-12-20T00:00:00+01:00;2014-01-08T00:00:00+01:00;44.08325;6.002581;urn:ogc:def:crs:EPSG::4326;483;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR070A
STA-FR10017;STA-FR10017;FR.LCSQA-INERIS.AQ;1;FR10017;St Pol mer - cheminots;DUNKERQUE;FR10017;2018-01-01T00:00:00+01:00;;51.03276;2.332358;urn:ogc:def:crs:EPSG::4326;4;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR23152;STA-FR23152;FR.LCSQA-INERIS.AQ;2;FR23152;DELACROIX;LA ROCHE-SUR-YON;FR23152;2005-02-07T00:00:00+01:00;;46.66065;-1.43686;urn:ogc:def:crs:EPSG::4326;68;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR035A
STA-FR82005;STA-FR82005;FR.LCSQA-INERIS.AQ;2;FR82005;Montfaucon;MONTFAUCON;FR82005;2005-09-15T00:00:00+01:00;;47.23461;6.076472;urn:ogc:def:crs:EPSG::4326;490;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR076A
STA-FR30020;STA-FR30020;FR.LCSQA-INERIS.AQ;2;FR30020;Bar Le Duc;BAR-LE-DUC;FR30020;1995-01-06T00:00:00+01:00;2021-03-17T00:00:00+01:00;48.77586;5.162789;urn:ogc:def:crs:EPSG::4326;200;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR41017;STA-FR41017;FR.LCSQA-INERIS.AQ;2;FR41017;BASTIA MONTESORO;BASTIA;FR41017;2006-05-23T00:00:00+01:00;;42.671333;9.434639;urn:ogc:def:crs:EPSG::4326;15;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR065A
STA-FR28115;STA-FR28115;FR.LCSQA-INERIS.AQ;2;FR28115;Lens Varsovie;LENS;FR28115;2015-12-23T00:00:00+01:00;;50.428604;2.836111;urn:ogc:def:crs:EPSG::4326;33;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR18035;STA-FR18035;FR.LCSQA-INERIS.AQ;2;FR18035;Salouel;SALOU�L;FR18035;1998-11-27T00:00:00+01:00;;49.86889;2.239806;urn:ogc:def:crs:EPSG::4326;30;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR06134;STA-FR06134;FR.LCSQA-INERIS.AQ;2;FR06134;Saint Amand;SAINT-AMAND-LES-EAUX;FR06134;2011-07-27T00:00:00+01:00;2024-12-03T00:00:00+01:00;50.45647;3.42794;urn:ogc:def:crs:EPSG::4326;22;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR18045;STA-FR18045;FR.LCSQA-INERIS.AQ;2;FR18045;Roye;ROYE;FR18045;2004-04-23T00:00:00+01:00;2024-11-29T00:00:00+01:00;49.696697;2.801139;urn:ogc:def:crs:EPSG::4326;86;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR10012;STA-FR10012;FR.LCSQA-INERIS.AQ;3;FR10012;Mardyck;DUNKERQUE;FR10012;1992-01-01T00:00:00+01:00;;51.01943;2.25099;urn:ogc:def:crs:EPSG::4326;1;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR09303;STA-FR09303;FR.LCSQA-INERIS.AQ;2;FR09303;Niort Venise;NIORT;FR09303;2019-12-10T00:00:00+01:00;;46.320026;-0.482861;urn:ogc:def:crs:EPSG::4326;19;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR058A
STA-FR26005;STA-FR26005;FR.LCSQA-INERIS.AQ;2;FR26005;Dijon P�joces;DIJON;FR26005;1994-01-01T00:00:00+01:00;;47.30737;5.065881;urn:ogc:def:crs:EPSG::4326;238;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR076A
STA-FR12053;STA-FR12053;FR.LCSQA-INERIS.AQ;2;FR12053;Castres stadeTravet;CASTRES;FR12053;2011-03-15T00:00:00+01:00;;43.610497;2.23015;urn:ogc:def:crs:EPSG::4326;183;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR12042;STA-FR12042;FR.LCSQA-INERIS.AQ;2;FR12042;Lourdes Lapaca;LOURDES;FR12042;2004-06-16T00:00:00+01:00;;43.09625;-0.040497;urn:ogc:def:crs:EPSG::4326;403;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR12041;STA-FR12041;FR.LCSQA-INERIS.AQ;2;FR12041;Montgiscard SICOVAL;MONTGISCARD;FR12041;2003-06-25T00:00:00+01:00;;43.457306;1.571469;urn:ogc:def:crs:EPSG::4326;194;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR14028;STA-FR14028;FR.LCSQA-INERIS.AQ;2;FR14028;Rempart Perrier;�PERNAY;FR14028;2014-01-22T00:00:00+01:00;;49.0461;3.955911;urn:ogc:def:crs:EPSG::4326;74;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR03087;STA-FR03087;FR.LCSQA-INERIS.AQ;4;FR03087;Avignon Semard;AVIGNON;FR03087;2009-11-02T00:00:00+01:00;2023-02-07T00:00:00+01:00;43.93706;4.824909;urn:ogc:def:crs:EPSG::4326;19;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR070A
STA-FR50225;STA-FR50225;FR.LCSQA-INERIS.AQ;1;FR50225;Montpellier Libert�;MONTPELLIER;FR50225;2022-06-10T00:00:00+01:00;;43.611607;3.827868;urn:ogc:def:crs:EPSG::4326;56;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR20045;STA-FR20045;FR.LCSQA-INERIS.AQ;2;FR20045;GENAS;GENAS;FR20045;1999-01-01T00:00:00+01:00;2019-01-08T00:00:00+01:00;45.7317;4.9803;urn:ogc:def:crs:EPSG::4326;209;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR23163;STA-FR23163;FR.LCSQA-INERIS.AQ;2;FR23163;Fill�;SPAY;FR23163;2005-09-06T00:00:00+01:00;;47.921925;0.151895;urn:ogc:def:crs:EPSG::4326;43;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR035A
STA-FR23235;STA-FR23235;FR.LCSQA-INERIS.AQ;1;FR23235;HAUTES BRIVES;MAYENNE;FR23235;2012-01-01T00:00:00+01:00;2013-01-04T00:00:00+01:00;48.31929;-0.60185;urn:ogc:def:crs:EPSG::4326;113;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural;FR.LCSQA-INERIS.AQ/NET-FR035A
STA-FR34057;STA-FR34057;FR.LCSQA-INERIS.AQ;2;FR34057;Issoudun Trafic ZR;ISSOUDUN;FR34057;2014-12-04T00:00:00+01:00;2021-12-30T00:00:00+01:00;46.94294;2.003258;urn:ogc:def:crs:EPSG::4326;147;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR061A
STA-FR38008;STA-FR38008;FR.LCSQA-INERIS.AQ;2;FR38008;Ecole JOINVILLE;SAINT-DENIS;FR38008;2005-02-15T00:00:00+01:00;2024-01-01T00:00:00+01:00;-20.884575;55.453907;urn:ogc:def:crs:EPSG::4326;30;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR060A
STA-FR11114;STA-FR11114;FR.LCSQA-INERIS.AQ;2;FR11114;Wattignies;WATTIGNIES;FR11114;2015-05-27T00:00:00+01:00;;50.59774;3.04946;urn:ogc:def:crs:EPSG::4326;51;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR09403;STA-FR09403;FR.LCSQA-INERIS.AQ;2;FR09403;Poitiers-Le Nain;POITIERS;FR09403;2017-01-10T00:00:00+01:00;;46.591232;0.34039;urn:ogc:def:crs:EPSG::4326;77;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR058A
STA-FR08023;STA-FR08023;FR.LCSQA-INERIS.AQ;2;FR08023;Biterrois-Narbonnais;CORNEILHAN;FR08023;2003-05-20T00:00:00+01:00;;43.4068;3.18878;urn:ogc:def:crs:EPSG::4326;76;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR20013;STA-FR20013;FR.LCSQA-INERIS.AQ;2;FR20013;A7 SUD LYONNAIS;LA MULATI�RE;FR20013;1999-02-09T00:00:00+01:00;;45.720024;4.818156;urn:ogc:def:crs:EPSG::4326;163;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR82050;STA-FR82050;FR.LCSQA-INERIS.AQ;2;FR82050;Lons-le-Saunier CV;LONS-LE-SAUNIER;FR82050;2002-06-25T00:00:00+01:00;;46.67132;5.55662;urn:ogc:def:crs:EPSG::4326;261;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR076A
STA-FR14202;STA-FR14202;FR.LCSQA-INERIS.AQ;1;FR14202;Ch�lons Prieur;CHALONS-EN-CHAMPAGNE;FR14202;2015-01-05T00:00:00+01:00;2015-12-23T00:00:00+01:00;48.9559;4.365281;urn:ogc:def:crs:EPSG::4326;83;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR01064;STA-FR01064;FR.LCSQA-INERIS.AQ;2;FR01064;Metz- Pont Grilles;METZ;FR01064;2013-07-17T00:00:00+01:00;;49.12508;6.181219;urn:ogc:def:crs:EPSG::4326;164;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR19039;STA-FR19039;FR.LCSQA-INERIS.AQ;1;FR19039;Rennes Thabor;RENNES;FR19039;2022-12-08T00:00:00+01:00;;48.11521;-1.673088;urn:ogc:def:crs:EPSG::4326;54;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR072A
STA-FR05085;STA-FR05085;FR.LCSQA-INERIS.AQ;2;FR05085;Lillebonne;LILLEBONNE;FR05085;2008-10-16T00:00:00+01:00;;49.512146;0.539036;urn:ogc:def:crs:EPSG::4326;18;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR069A
STA-FR30021;STA-FR30021;FR.LCSQA-INERIS.AQ;2;FR30021;Fl�ville;FL�VILLE-DEVANT-NANCY;FR30021;1995-01-27T00:00:00+01:00;;48.621502;6.194922;urn:ogc:def:crs:EPSG::4326;250;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR26017;STA-FR26017;FR.LCSQA-INERIS.AQ;2;FR26017;Nevers;NEVERS;FR26017;2001-07-01T00:00:00+01:00;;46.996826;3.171092;urn:ogc:def:crs:EPSG::4326;190;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR076A
STA-FR31005;STA-FR31005;FR.LCSQA-INERIS.AQ;2;FR31005;BORDEAUX-GAMBETTA;BORDEAUX;FR31005;1998-07-01T00:00:00+01:00;2018-01-24T00:00:00+01:00;44.84139;-0.579722;urn:ogc:def:crs:EPSG::4326;15;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR058A
STA-FR24013;STA-FR24013;FR.LCSQA-INERIS.AQ;1;FR24013;ADRECHAS;VALDEBLORE;FR24013;1999-12-15T00:00:00+01:00;2013-10-05T00:00:00+01:00;44.073345;7.225241;urn:ogc:def:crs:EPSG::4326;1552;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional;FR.LCSQA-INERIS.AQ/NET-FR070A
STA-FR21500;STA-FR21500;FR.LCSQA-INERIS.AQ;1;FR21500;Caen d�livrande;CAEN;FR21500;2018-01-25T00:00:00+01:00;2023-12-15T00:00:00+01:00;49.18888;-0.35946;urn:ogc:def:crs:EPSG::4326;25;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR069A
STA-FR08713;STA-FR08713;FR.LCSQA-INERIS.AQ;2;FR08713;Perpignan Rigaud;PERPIGNAN;FR08713;1999-06-16T00:00:00+01:00;2022-04-14T00:00:00+01:00;42.6835;2.90351;urn:ogc:def:crs:EPSG::4326;55;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR19082;STA-FR19082;FR.LCSQA-INERIS.AQ;1;FR19082;StMalo Rocabey;SAINT-MALO;FR19082;2018-06-21T00:00:00+01:00;;48.65306;-2.00268;urn:ogc:def:crs:EPSG::4326;5;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR072A
STA-FR10025;STA-FR10025;FR.LCSQA-INERIS.AQ;2;FR10025;Sangatte;SANGATTE;FR10025;2000-11-02T00:00:00+01:00;;50.94989;1.76917;urn:ogc:def:crs:EPSG::4326;3;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR18019;STA-FR18019;FR.LCSQA-INERIS.AQ;2;FR18019;Nogent sur Oise;NOGENT-SUR-OISE;FR18019;1991-03-22T00:00:00+01:00;2022-01-21T00:00:00+01:00;49.276386;2.482167;urn:ogc:def:crs:EPSG::4326;28;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR23003;STA-FR23003;FR.LCSQA-INERIS.AQ;2;FR23003;LA MEGRETAIS;DONGES;FR23003;1982-06-01T00:00:00+01:00;;47.322704;-2.039243;urn:ogc:def:crs:EPSG::4326;7;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR035A
STA-FR08209;STA-FR08209;FR.LCSQA-INERIS.AQ;2;FR08209;Saze Gard Rhodanien2;SAZE;FR08209;1994-03-10T00:00:00+01:00;;43.9426;4.67958;urn:ogc:def:crs:EPSG::4326;87;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR07048;STA-FR07048;FR.LCSQA-INERIS.AQ;2;FR07048;Villeneuve sur Allier;VILLENEUVE-SUR-ALLIER;FR07048;2014-01-01T00:00:00+01:00;2021-01-08T00:00:00+01:00;46.659046;3.249247;urn:ogc:def:crs:EPSG::4326;208;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR06009;STA-FR06009;FR.LCSQA-INERIS.AQ;2;FR06009;Cambrai Gambetta;CAMBRAI;FR06009;1999-12-09T00:00:00+01:00;2018-12-15T00:00:00+01:00;50.17249;3.23606;urn:ogc:def:crs:EPSG::4326;59;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR24006;STA-FR24006;FR.LCSQA-INERIS.AQ;1;FR24006;ANTIBES GUYNEMER;ANTIBES;FR24006;1997-06-11T00:00:00+01:00;2016-02-12T00:00:00+01:00;43.580894;7.12222;urn:ogc:def:crs:EPSG::4326;8;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR070A
STA-FR04063;STA-FR04063;FR.LCSQA-INERIS.AQ;2;FR04063;MANTES-LA-JOLIE;MANTES-LA-JOLIE;FR04063;1992-02-27T00:00:00+01:00;;48.9964;1.7033;urn:ogc:def:crs:EPSG::4326;32;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR004A
STA-FR23092;STA-FR23092;FR.LCSQA-INERIS.AQ;1;FR23092;JARDIN PREFECTURE;LE MANS;FR23092;1998-04-17T00:00:00+01:00;2013-01-09T00:00:00+01:00;48.001293;0.20095;urn:ogc:def:crs:EPSG::4326;69;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR035A
STA-FR42008;STA-FR42008;FR.LCSQA-INERIS.AQ;1;FR42008;La Bresse Centre;LA BRESSE;FR42008;2019-02-01T00:00:00+01:00;2021-01-01T00:00:00+01:00;48.007454;6.87752;urn:ogc:def:crs:EPSG::4326;655;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR07052;STA-FR07052;FR.LCSQA-INERIS.AQ;3;FR07052;Aurillac-Lagarde;AURILLAC;FR07052;2015-12-28T00:00:00+01:00;;44.92008;2.441082;urn:ogc:def:crs:EPSG::4326;640;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR31036;STA-FR31036;FR.LCSQA-INERIS.AQ;3;FR31036;DAX;DAX;FR31036;2004-04-06T00:00:00+01:00;2023-10-13T00:00:00+01:00;43.704643;-1.038557;urn:ogc:def:crs:EPSG::4326;14;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR058A
STA-FR28028;STA-FR28028;FR.LCSQA-INERIS.AQ;2;FR28028;Bethune Stade;B�THUNE;FR28028;2004-06-01T00:00:00+01:00;;50.535385;2.635692;urn:ogc:def:crs:EPSG::4326;26;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR22019;STA-FR22019;FR.LCSQA-INERIS.AQ;2;FR22019;SCHOENECK (19);SCH�NECK;FR22019;2004-06-29T00:00:00+01:00;2023-01-18T00:00:00+01:00;49.220364;6.925833;urn:ogc:def:crs:EPSG::4326;209;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR24038;STA-FR24038;FR.LCSQA-INERIS.AQ;3;FR24038;GAP JEAN JAURES;GAP;FR24038;2012-10-12T00:00:00+01:00;;44.54865;6.067237;urn:ogc:def:crs:EPSG::4326;736;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR070A
STA-FR14042;STA-FR14042;FR.LCSQA-INERIS.AQ;2;FR14042;St DIZIER L. Michel;SAINT-DIZIER;FR14042;2010-01-15T00:00:00+01:00;;48.645836;4.966111;urn:ogc:def:crs:EPSG::4326;151;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR03027;STA-FR03027;FR.LCSQA-INERIS.AQ;3;FR03027;PLAN AUPS/STE  BAUME;PLAN-D'AUPS-SAINTE-BAUME;FR03027;1983-05-03T00:00:00+01:00;;43.3352;5.727365;urn:ogc:def:crs:EPSG::4326;682;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity;FR.LCSQA-INERIS.AQ/NET-FR070A
STA-FR15031;STA-FR15031;FR.LCSQA-INERIS.AQ;3;FR15031;Le Casset2;LE MON�TIER-LES-BAINS;FR15031;1997-01-15T00:00:00+01:00;;44.997;6.4694;urn:ogc:def:crs:EPSG::4326;1750;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-remote;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR07023;STA-FR07023;FR.LCSQA-INERIS.AQ;1;FR07023;Besse et St Anastais;BESSE-ET-SAINT-ANASTAISE;FR07023;2003-07-08T00:00:00+01:00;2013-12-14T00:00:00+01:00;45.51039;2.930361;urn:ogc:def:crs:EPSG::4326;1050;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional;FR.LCSQA-INERIS.AQ/NET-FR071A
STA-FR21031;STA-FR21031;FR.LCSQA-INERIS.AQ;3;FR21031;Alen�on M�t�o-France;CERIS�;FR21031;2005-03-16T00:00:00+01:00;;48.445553;0.110833;urn:ogc:def:crs:EPSG::4326;140;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban;FR.LCSQA-INERIS.AQ/NET-FR069A
STA-FR12056;STA-FR12056;FR.LCSQA-INERIS.AQ;2;FR12056;MILLAU;MILLAU;FR12056;2015-01-09T00:00:00+01:00;2019-02-13T00:00:00+01:00;44.10618;3.072178;urn:ogc:def:crs:EPSG::4326;389;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR21039;STA-FR21039;FR.LCSQA-INERIS.AQ;1;FR21039;Cherbourg PMF;CHERBOURG-EN-COTENTIN;FR21039;2023-01-12T00:00:00+01:00;;49.63389;-1.6247222;urn:ogc:def:crs:EPSG::4326;7;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR069A
